Retailer Code,Retailer Name,Door Code,Door Name,Door Zip Code,Year,Week,UPC,SKU Descreption,POS Units,POS Amount
SEP,SEPHORA CANADA,236514,SEPHORA #560 SASKATOON,S7K 1J9,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,236515,SEPHORA #562 CALGARY SOUTH CENTRE,T2J 3V1,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,236726,SEPHORA #564 KINGSWAY MALL,T5G 3A6,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,224051,SEPHORA #500 YONGE,M5B 2H1,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,229841,SEPHORA #518 OTTAWA,K1N 9J7,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,229843,SEPHORA #520 ST-BRUNO,J3V 5K1,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,227753,SEPHORA #514 CHINOOK CENTRE,T2H 0K8,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,233279,SEPHORA #542 LONDON WHITE OAKS,N6E 1V4,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,224051,SEPHORA #500 YONGE,M5B 2H1,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,-1.0,
SEP,SEPHORA CANADA,243166,SEPHORA # 872 SUDBURY,P3A 1Z2,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,231967,SEPHORA #528 VANCOUVER,V7Y 1G5,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
